longitude,latitude,value
-47.684835725391984,-21.550963277612613,-0.054525621235370636
-47.68474062475435,-21.550963277612613,-0.08476956933736801
-47.6846455241167,-21.550963277612613,-0.08454778790473938
-47.68455042347906,-21.550963277612613,-0.07604632526636124
-47.684455322841416,-21.550963277612613,-0.06402313709259033
-47.68436022220377,-21.550963277612613,-0.0588749423623085
-47.684265121566135,-21.550963277612613,-0.06351793557405472
-47.68417002092849,-21.550963277612613,-0.06385219842195511
-47.68407492029085,-21.550963277612613,-0.05719077214598656
-47.6839798196532,-21.550963277612613,-0.05607413500547409
-47.68388471901556,-21.550963277612613,-0.05947750434279442
-47.68378961837792,-21.550963277612613,-0.055744655430316925
-47.68369451774028,-21.550963277612613,-0.04929163306951523
-47.683599417102634,-21.550963277612613,-0.04569823667407036
-47.68350431646499,-21.550963277612613,-0.046903133392333984
-47.68340921582735,-21.550963277612613,-0.04646208882331848
-47.68331411518971,-21.550963277612613,-0.04095354303717613
-47.683219014552066,-21.550963277612613,-0.03240557760000229
-47.68312391391442,-21.550963277612613,-0.028895648196339607
-47.68302881327678,-21.550963277612613,-0.0298291128128767
-47.68293371263914,-21.550963277612613,-0.03059433586895466
-47.6828386120015,-21.550963277612613,-0.03098822385072708
-47.68274351136385,-21.550963277612613,-0.02553662471473217
-47.68264841072621,-21.550963277612613,-0.022276978939771652
-47.682553310088565,-21.550963277612613,-0.020485717803239822
-47.68245820945093,-21.550963277612613,-0.023239726200699806
-47.682363108813284,-21.550963277612613,-0.029208632186055183
-47.68226800817564,-21.550963277612613,-0.010204301215708256
-47.682172907537996,-21.550963277612613,-0.008538350462913513
-47.68207780690036,-21.550963277612613,-0.00563757074996829
-47.681982706262716,-21.550963277612613,-0.007617291994392872
-47.68188760562507,-21.550963277612613,-0.015261789783835411
-47.68179250498743,-21.550963277612613,-0.007170213386416435
-47.681697404349784,-21.550963277612613,-0.01203076634556055
-47.68160230371215,-21.550963277612613,-0.022415082901716232
-47.6815072030745,-21.550963277612613,-0.03005599044263363
-47.68141210243686,-21.550963277612613,-0.02423812448978424
-47.681317001799215,-21.550963277612613,-0.02055523917078972
-47.68122190116158,-21.550963277612613,-0.028165755793452263
-47.681126800523934,-21.550963277612613,-0.02889115735888481
-47.68103169988629,-21.550963277612613,-0.03508354350924492
-47.680936599248646,-21.550963277612613,-0.03704816848039627
-47.680841498611,-21.550963277612613,-0.03702320531010628
-47.680746397973365,-21.550963277612613,-0.03699253499507904
-47.68065129733572,-21.550963277612613,-0.040277231484651566
-47.68055619669808,-21.550963277612613,-0.03810901939868927
-47.680461096060434,-21.550963277612613,-0.035592157393693924
-47.68036599542279,-21.550963277612613,-0.04106796532869339
-47.68027089478515,-21.550963277612613,-0.03502544015645981
-47.68017579414751,-21.550963277612613,-0.03101644665002823
-47.680080693509865,-21.550963277612613,-0.026903288438916206
-47.67998559287222,-21.550963277612613,-0.028887804597616196
-47.679890492234584,-21.550963277612613,-0.031376179307699203
-47.67979539159694,-21.550963277612613,-0.02800874412059784
