longitude,latitude,value
-47.684835725391984,-21.550963277612613,-0.05617794394493103
-47.68474062475435,-21.550963277612613,-0.09853170812129974
-47.6846455241167,-21.550963277612613,-0.1109677255153656
-47.68455042347906,-21.550963277612613,-0.11581303924322128
-47.684455322841416,-21.550963277612613,-0.11473757773637772
-47.68436022220377,-21.550963277612613,-0.11436127126216888
-47.684265121566135,-21.550963277612613,-0.12011468410491943
-47.68417002092849,-21.550963277612613,-0.12156865000724792
-47.68407492029085,-21.550963277612613,-0.1160607561469078
-47.6839798196532,-21.550963277612613,-0.116000235080719
-47.68388471901556,-21.550963277612613,-0.12054529041051865
-47.68378961837792,-21.550963277612613,-0.11844996362924576
-47.68369451774028,-21.550963277612613,-0.11395276337862015
-47.683599417102634,-21.550963277612613,-0.11229177564382553
-47.68350431646499,-21.550963277612613,-0.11538619548082352
-47.68340921582735,-21.550963277612613,-0.11685986071825027
-47.68331411518971,-21.550963277612613,-0.11313103139400482
-47.683219014552066,-21.550963277612613,-0.10573363304138184
-47.68312391391442,-21.550963277612613,-0.10283718258142471
-47.68302881327678,-21.550963277612613,-0.10435117036104202
-47.68293371263914,-21.550963277612613,-0.10570486634969711
-47.6828386120015,-21.550963277612613,-0.10670173913240433
-47.68274351136385,-21.550963277612613,-0.10176291316747665
-47.68264841072621,-21.550963277612613,-0.09821850806474686
-47.682553310088565,-21.550963277612613,-0.09548570215702057
-47.68245820945093,-21.550963277612613,-0.09725315868854523
-47.682363108813284,-21.550963277612613,-0.10219921916723251
-47.68226800817564,-21.550963277612613,-0.08239486813545227
-47.682172907537996,-21.550963277612613,-0.07975871115922928
-47.68207780690036,-21.550963277612613,-0.07577782869338989
-47.681982706262716,-21.550963277612613,-0.07653879374265671
-47.68188760562507,-21.550963277612613,-0.08292309939861298
-47.68179250498743,-21.550963277612613,-0.07366155087947845
-47.681697404349784,-21.550963277612613,-0.07726908475160599
-47.68160230371215,-21.550963277612613,-0.08626426011323929
-47.6815072030745,-21.550963277612613,-0.0928158164024353
-47.68141210243686,-21.550963277612613,-0.08634670078754425
-47.681317001799215,-21.550963277612613,-0.0820092037320137
-47.68122190116158,-21.550963277612613,-0.08890197426080704
-47.681126800523934,-21.550963277612613,-0.08896813541650772
-47.68103169988629,-21.550963277612613,-0.09447010606527328
-47.680936599248646,-21.550963277612613,-0.09638022631406784
-47.680841498611,-21.550963277612613,-0.09694432467222214
-47.680746397973365,-21.550963277612613,-0.09754364937543869
-47.68065129733572,-21.550963277612613,-0.10143014043569565
-47.68055619669808,-21.550963277612613,-0.09990870207548141
-47.680461096060434,-21.550963277612613,-0.09804239124059677
-47.68036599542279,-21.550963277612613,-0.10435687005519867
-47.68027089478515,-21.550963277612613,-0.09957385808229446
-47.68017579414751,-21.550963277612613,-0.09687557816505432
-47.680080693509865,-21.550963277612613,-0.09409424662590027
-47.67998559287222,-21.550963277612613,-0.09738180041313171
-47.679890492234584,-21.550963277612613,-0.10119067132472992
-47.67979539159694,-21.550963277612613,-0.09949153661727905
-47.679700290959296,-21.550963277612613,-0.08986112475395203
-47.67960519032165,-21.550963277612613,-0.08433555066585541
-47.67951008968401,-21.550963277612613,-0.08651150017976761
-47.67941498904637,-21.550963277612613,-0.08840721100568771
-47.67931988840873,-21.550963277612613,-0.08768686652183533
-47.67922478777108,-21.550963277612613,-0.08509523421525955
-47.67912968713344,-21.550963277612613,-0.0827379822731018
-47.679034586495796,-21.550963277612613,-0.08013824373483658
-47.67893948585816,-21.550963277612613,-0.07562418282032013
-47.678844385220515,-21.550963277612613,-0.07279704511165619
-47.67874928458287,-21.550963277612613,-0.07122954726219177
-47.67865418394523,-21.550963277612613,-0.06852217763662338
-47.67855908330759,-21.550963277612613,-0.06273855268955231
-47.678463982669946,-21.550963277612613,-0.06210555136203766
-47.6783688820323,-21.550963277612613,-0.06553209573030472
-47.67827378139466,-21.550963277612613,-0.06842665374279022
-47.678178680757014,-21.550963277612613,-0.06965082138776779
-47.67808358011938,-21.550963277612613,-0.06841041892766953
-47.67798847948173,-21.550963277612613,-0.0697682574391365
-47.67789337884409,-21.550963277612613,-0.07423161715269089
-47.677798278206446,-21.550963277612613,-0.0789840891957283
-47.67770317756881,-21.550963277612613,-0.0832909494638443
-47.677608076931165,-21.550963277612613,-0.08556851744651794
-47.67751297629352,-21.550963277612613,-0.08575794100761414
-47.67741787565588,-21.550963277612613,-0.08461108058691025
-47.67732277501823,-21.550963277612613,-0.08203181624412537
-47.677227674380596,-21.550963277612613,-0.07953982800245285
-47.67713257374295,-21.550963277612613,-0.0784199982881546
-47.67703747310531,-21.550963277612613,-0.07735232263803482
-47.676942372467664,-21.550963277612613,-0.07813568413257599
-47.67684727183002,-21.550963277612613,-0.07641783356666565
-47.67675217119238,-21.550963277612613,-0.07357286661863327
-47.67665707055474,-21.550963277612613,-0.07018616050481796
-47.676561969917095,-21.550963277612613,-0.0736742690205574
-47.67646686927945,-21.550963277612613,-0.08015107363462448
-47.676371768641815,-21.550963277612613,-0.08104665577411652
-47.67627666800417,-21.550963277612613,-0.08021341264247894
-47.67618156736653,-21.550963277612613,-0.07483170181512833
-47.67608646672888,-21.550963277612613,-0.06328085064888
-47.67599136609124,-21.550963277612613,-0.05237013101577759
-47.6758962654536,-21.550963277612613,-0.04114382714033127
-47.67580116481596,-21.550963277612613,-0.06652127206325531
-47.675706064178314,-21.550963277612613,-0.08349159359931946
-47.67561096354067,-21.550963277612613,-0.09242197126150131
-47.675515862903026,-21.550963277612613,-0.0959654301404953
-47.67542076226539,-21.550963277612613,-0.09834973514080048
-47.675325661627745,-21.550963277612613,-0.09742014855146408
-47.6752305609901,-21.550963277612613,-0.1054188534617424
-47.67513546035246,-21.550963277612613,-0.10286157578229904
-47.684835725391984,-21.551058378250257,-0.05303141474723816
-47.68474062475435,-21.551058378250257,-0.11532311141490936
-47.6846455241167,-21.551058378250257,-0.1211574375629425
-47.68455042347906,-21.551058378250257,-0.12033700197935104
-47.684455322841416,-21.551058378250257,-0.11358647048473358
-47.68436022220377,-21.551058378250257,-0.1050291433930397
-47.684265121566135,-21.551058378250257,-0.10760238766670227
-47.68417002092849,-21.551058378250257,-0.11343656480312347
-47.68407492029085,-21.551058378250257,-0.10583677142858505
-47.6839798196532,-21.551058378250257,-0.10279945284128189
-47.68388471901556,-21.551058378250257,-0.10703172534704208
-47.68378961837792,-21.551058378250257,-0.10555615276098251
-47.68369451774028,-21.551058378250257,-0.10279660671949387
-47.683599417102634,-21.551058378250257,-0.10158136487007141
-47.68350431646499,-21.551058378250257,-0.10777056217193604
-47.68340921582735,-21.551058378250257,-0.112119160592556
-47.68331411518971,-21.551058378250257,-0.10862341523170471
-47.683219014552066,-21.551058378250257,-0.10559937357902527
-47.68312391391442,-21.551058378250257,-0.1003832072019577
-47.68302881327678,-21.551058378250257,-0.09601151943206787
-47.68293371263914,-21.551058378250257,-0.09231748431921005
-47.6828386120015,-21.551058378250257,-0.09168833494186401
-47.68274351136385,-21.551058378250257,-0.0898575633764267
-47.68264841072621,-21.551058378250257,-0.08733794838190079
-47.682553310088565,-21.551058378250257,-0.08511803299188614
-47.68245820945093,-21.551058378250257,-0.08037250488996506
-47.682363108813284,-21.551058378250257,-0.07836627215147018
-47.68226800817564,-21.551058378250257,-0.07492420077323914
-47.682172907537996,-21.551058378250257,-0.07440844923257828
-47.68207780690036,-21.551058378250257,-0.0707494243979454
-47.681982706262716,-21.551058378250257,-0.06994438171386719
-47.68188760562507,-21.551058378250257,-0.07685636729001999
-47.68179250498743,-21.551058378250257,-0.08288576453924179
-47.681697404349784,-21.551058378250257,-0.08332981914281845
-47.68160230371215,-21.551058378250257,-0.08005942404270172
-47.6815072030745,-21.551058378250257,-0.07400796562433243
-47.68141210243686,-21.551058378250257,-0.07498986274003983
-47.681317001799215,-21.551058378250257,-0.08016833662986755
-47.68122190116158,-21.551058378250257,-0.08910995721817017
-47.681126800523934,-21.551058378250257,-0.0883018746972084
-47.68103169988629,-21.551058378250257,-0.09091755002737045
-47.680936599248646,-21.551058378250257,-0.09447947144508362
-47.680841498611,-21.551058378250257,-0.09791942685842514
-47.680746397973365,-21.551058378250257,-0.10184294730424881
-47.68065129733572,-21.551058378250257,-0.09989643841981888
-47.68055619669808,-21.551058378250257,-0.10085031390190125
-47.680461096060434,-21.551058378250257,-0.09716364741325378
-47.68036599542279,-21.551058378250257,-0.09485922753810883
-47.68027089478515,-21.551058378250257,-0.09548012912273407
-47.68017579414751,-21.551058378250257,-0.0936397984623909
-47.680080693509865,-21.551058378250257,-0.09144383668899536
-47.67998559287222,-21.551058378250257,-0.10182912647724152
-47.679890492234584,-21.551058378250257,-0.10533862560987473
-47.67979539159694,-21.551058378250257,-0.0949116200208664
-47.679700290959296,-21.551058378250257,-0.08339039981365204
-47.67960519032165,-21.551058378250257,-0.07674626260995865
-47.67951008968401,-21.551058378250257,-0.07543839514255524
-47.67941498904637,-21.551058378250257,-0.07321184128522873
-47.67931988840873,-21.551058378250257,-0.06989876180887222
-47.67922478777108,-21.551058378250257,-0.06818439066410065
-47.67912968713344,-21.551058378250257,-0.06913705170154572
-47.679034586495796,-21.551058378250257,-0.06635499745607376
-47.67893948585816,-21.551058378250257,-0.061228882521390915
-47.678844385220515,-21.551058378250257,-0.05915134772658348
-47.67874928458287,-21.551058378250257,-0.058726828545331955
-47.67865418394523,-21.551058378250257,-0.05876350402832031
-47.67855908330759,-21.551058378250257,-0.05942578613758087
-47.678463982669946,-21.551058378250257,-0.06298539787530899
-47.6783688820323,-21.551058378250257,-0.06807494163513184
-47.67827378139466,-21.551058378250257,-0.07378818839788437
-47.678178680757014,-21.551058378250257,-0.07997312396764755
-47.67808358011938,-21.551058378250257,-0.08405698835849762
-47.67798847948173,-21.551058378250257,-0.08822648227214813
-47.67789337884409,-21.551058378250257,-0.09285049140453339
-47.677798278206446,-21.551058378250257,-0.09227123111486435
-47.67770317756881,-21.551058378250257,-0.08847590535879135
-47.677608076931165,-21.551058378250257,-0.08520472049713135
-47.67751297629352,-21.551058378250257,-0.08065811544656754
-47.67741787565588,-21.551058378250257,-0.07781465351581573
-47.67732277501823,-21.551058378250257,-0.07651374489068985
-47.677227674380596,-21.551058378250257,-0.07429828494787216
-47.67713257374295,-21.551058378250257,-0.07374241203069687
-47.67703747310531,-21.551058378250257,-0.07472127676010132
-47.676942372467664,-21.551058378250257,-0.07606464624404907
-47.67684727183002,-21.551058378250257,-0.07613251358270645
-47.67675217119238,-21.551058378250257,-0.07845727354288101
-47.67665707055474,-21.551058378250257,-0.08077551424503326
-47.676561969917095,-21.551058378250257,-0.08256618678569794
-47.67646686927945,-21.551058378250257,-0.07851351052522659
-47.676371768641815,-21.551058378250257,-0.07775934785604477
-47.67627666800417,-21.551058378250257,-0.08074281364679337
-47.67618156736653,-21.551058378250257,-0.08387923240661621
-47.67608646672888,-21.551058378250257,-0.07741419225931168
-47.67599136609124,-21.551058378250257,-0.06648830324411392
-47.6758962654536,-21.551058378250257,-0.05133770406246185
-47.67580116481596,-21.551058378250257,-0.06084645912051201
-47.675706064178314,-21.551058378250257,-0.10347376763820648
-47.67561096354067,-21.551058378250257,-0.1026001051068306
-47.675515862903026,-21.551058378250257,-0.08998879790306091
-47.67542076226539,-21.551058378250257,-0.09161665290594101
-47.675325661627745,-21.551058378250257,-0.0789719745516777
-47.6752305609901,-21.551058378250257,-0.05282888561487198
-47.67513546035246,-21.551058378250257,-0.01387742254883051
-47.684835725391984,-21.5511534788879,0.03557208925485611
-47.68474062475435,-21.5511534788879,-0.07730796188116074
-47.6846455241167,-21.5511534788879,-0.11910942196846008
-47.68455042347906,-21.5511534788879,-0.11422190070152283
-47.684455322841416,-21.5511534788879,-0.1038084626197815
-47.68436022220377,-21.5511534788879,-0.10050266981124878
-47.684265121566135,-21.5511534788879,-0.10429271310567856
-47.68417002092849,-21.5511534788879,-0.10524557530879974
-47.68407492029085,-21.5511534788879,-0.09607522934675217
-47.6839798196532,-21.5511534788879,-0.09267273545265198
-47.68388471901556,-21.5511534788879,-0.09769339114427567
-47.68378961837792,-21.5511534788879,-0.10022469609975815
-47.68369451774028,-21.5511534788879,-0.10017906874418259
-47.683599417102634,-21.5511534788879,-0.09916325658559799
